experiment,train_window_days,predict_window_days,rebalance_days,optimization,script,metrics_file,nav_file,cumulative_nav,cumulative_return,annual_return,sharpe,max_drawdown,calmar,benchmark_nav,cumulative_excess_return,annual_excess_return,ic,rank_ic,icir,rank_icir,top_bottom_spread
fixed_window_default,756,20,5,none,scripts/05_lightgbm_fixed_window_backtest.py,outputs/alpha_fixed_window/fixed_window_metrics_label_5d.csv,outputs/alpha_fixed_window/fixed_window_nav_label_5d.png,2.2475649811567915,1.2475649811567915,0.37974014526755706,1.0447171240427962,-0.40721048726483977,0.9325401902544403,1.3036613439487466,0.7240405198707454,0.24171527112767444,0.027204244469199595,0.018954895363932037,0.1555700472603175,0.10667332888771268,0.005286548212721375
fixed_window_optuna_best,756,20,5,bayesian_optuna,scripts/06_optimize_lightgbm_fixed_window.py,outputs/alpha_fixed_window_optimized/best_fixed_window_metrics_label_5d.csv,outputs/alpha_fixed_window_optimized/best_fixed_window_nav_label_5d.png,2.670080584882727,1.6700805848827271,0.4775199219806132,1.2882370818129165,-0.41261434553548515,1.1573032473238285,1.3036613439487466,1.0481397237684003,0.32971346583738304,0.0231233771606436,0.015860481779173697,0.14203467946308312,0.0967882061309505,0.003036328839735829
fixed_window_grid_best,756,20,5,focused_grid_search,scripts/07_grid_search_lightgbm_fixed_window.py,outputs/alpha_fixed_window_grid/focused_best_metrics_label_5d.csv,outputs/alpha_fixed_window_grid/focused_best_nav_label_5d.png,3.2447894661476435,2.2447894661476435,0.5965574429350564,1.6094183114539256,-0.3578182014869763,1.6672082092413336,1.3036613439487466,1.4889818826101608,0.4368428467670431,0.03127742410378734,0.023597573110727587,0.19381410817595893,0.15011767841890727,0.005057377662873852
rolling_window_grid_params,756,5,5,focused_grid_search_params_reused,scripts/10_spyder_lightgbm_rolling_pipeline.py,outputs/lightgbm_window_optimization/rolling_spyder_outputs/spyder_lightgbm_metrics.csv,outputs/lightgbm_window_optimization/rolling_spyder_outputs/spyder_lightgbm_nav.png,8.864977455311847,7.8649774553118466,1.3805616813409927,3.6114055976459483,-0.2810025437450536,4.912986419772558,1.3036613439487466,5.800061608377622,1.1424177615773181,0.07210187135235384,0.05500565069212342,0.41434991287922224,0.3344705914790031,0.0114580617437757
