metric,LightGBM
累计净值,8.864977455311847
累计收益,7.8649774553118466
年化收益,1.3805616813409927
夏普比率,3.6114055976459483
最大回撤,-0.2810025437450536
最大回撤开始,2023-11-20 00:00:00
最大回撤结束,2024-02-02 00:00:00
卡玛比率,4.912986419772558
年化收益/回撤比,4.912986419772558
基准累计净值,1.3036613439487466
基准累计收益,0.30366134394874655
累计超额收益,5.800061608377622
年化超额收益,1.1424177615773181
IC,0.07210187135235384
Rank IC,0.05500565069212342
ICIR,0.41434991287922224
Rank ICIR,0.3344705914790031
Top-Bottom Spread,0.0114580617437757
